INSERT INTO [User] (UID, userName, password, fullName, gender, phone, email, role, status, signupDate, expiredDate, MID, avatar)
VALUES
('UID0', 'Emily', '1', 'Emily Johnson', 'female', '0987654321', 'emily.johnson@gmail.com', 'member', 'activated', CONVERT(DATETIME, '1/1/2023', 103), CONVERT(DATETIME, '10/10/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID1', 'Satoshi', 'satoshitanaka#456', 'Satoshi Tanaka', 'male', '0912345678', 'satoshi.tanaka@gmail.com', 'member', 'activated', CONVERT(DATETIME, '2/1/2023', 103), CONVERT(DATETIME, '2/2/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID2', 'Olivia', 'oliviadavis#789', 'Olivia Davis', 'female', '0976543210', 'olivia.davis@gmail.com', 'member', 'activated', CONVERT(DATETIME, '3/1/2023', 103), CONVERT(DATETIME, '3/2/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID3', 'Haruki', 'harukisuzuki#012', 'Haruki Suzuki', 'female', '0923456789', 'haruki.suzuki@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '4/1/2023', 103), CONVERT(DATETIME, '4/2/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID4', 'Ethan', 'ethanwilson#345', 'Ethan Wilson', 'female', '0965432109', 'ethan.wilson@gmail.com', 'member', 'activated', CONVERT(DATETIME, '5/1/2023', 103), CONVERT(DATETIME, '5/2/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID5', 'Aiko', 'aikonakamura#678', 'Aiko Nakamura', 'female', '0934567890', 'aiko.nakamura@gmail.com', 'member', 'activated', CONVERT(DATETIME, '6/1/2023', 103), CONVERT(DATETIME, '6/2/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID6', 'Noah', 'noahthompson#901', 'Noah Thompson', 'female', '0954321098', 'noah.thompson@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '7/1/2023', 103), CONVERT(DATETIME, '7/2/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID7', 'Yuki', 'yukiyamamoto#234', 'Yuki Yamamoto', 'male', '0943210987', 'yuki.yamamoto@gmail.com', 'member', 'activated', CONVERT(DATETIME, '8/1/2023', 103), CONVERT(DATETIME, '8/2/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID8', 'Sophia', 'sophiaanderson#567', 'Sophia Anderson', 'female', '0998765432', 'sophia.anderson@gmail.com', 'member', 'activated', CONVERT(DATETIME, '9/1/2023', 103), CONVERT(DATETIME, '9/2/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID9', 'Ren', 'renkato#890', 'Ren Kato', 'female', '0901234567', 'ren.kato@gmail.com', 'guest', 'unactivated', CONVERT(DATETIME, '10/1/2023', 103), CONVERT(DATETIME, '10/2/2023', 103), 'MID01', 'https://logodix.com/logo/1070634.png'),
('UID10', 'Ava', 'avamartinez#123', 'Ava Martinez', 'male', '0876543210', 'ava.martinez@gmail.com', 'member', 'activated', CONVERT(DATETIME, '11/2/2023', 103), CONVERT(DATETIME, '11/5/2023', 103), 'MID02', 'https://logodix.com/logo/1070634.png'),
